opportunity_id,verdict,note
9a83e37f-fc0c-44a3-956a-3a421790d70e,false_positive,"Parser assigned 4KV to the preceding 15 High Street art-hub project; entity and address do not match."
c6ed7bdf-d151-43c6-ba6a-365a96bfa898,false_positive,"Parser assigned 4KV to the preceding 57 Bay Street cafe application; entity and address do not match."
5017474a-ada0-484c-bfc9-9c55fb304e15,false_positive,"Residential conversion of former office space is outside the commercial-opening opportunity scope."
b7ac3a37-728d-4ccc-ba83-735494da0eea,false_positive,"Parser assigned Hidden Oak Way to the preceding industrial project; the named Hidden Oak work is residential."
925934eb-fdf1-4806-b99f-66fbe35b89bf,duplicate,"Duplicate of the normalized Mumfor Properties opportunity at 118 Ash Street caused by PDF text spacing."
c6684161-24dd-4878-b897-122b4c630f7a,actionable,"Current official filing supports conversion of a B&B into a hotel with dining at an exact address."
23f4d949-822c-4fb2-baf6-8d699c05d850,false_positive,"Parser assigned the Healy trust to the preceding Zachary Road warehouse project."
e35c15eb-0fc7-4358-bc02-f81b99a36d05,false_positive,"Project is real but organization extraction captured continuance text rather than Uni Uni Logistics/K4E."
70324e65-83dc-466f-a1b9-a21a4b6a1e5a,actionable,"Current mixed development includes renovation of an existing commercial building at an exact address."
e3f58670-06ed-46f8-a906-d26bfeaec3ac,stale,"Machine result is already stale and does not establish a current vendor-selection window."
25bc29dc-cf93-4beb-ac80-ac6b10b2925e,not_actionable,"EV charger work at an existing hotel is legitimate but is not a new or relocating operating business lead for the tested vendor profiles."
f16fdb13-4258-4757-87f6-8928ccbf4299,false_positive,"Residential garage work is outside commercial scope; adjacent agenda entries contaminated the extracted description."
ebd5433b-27c9-4670-b67f-2ce9a6c53496,actionable,"Coliving conversion at an exact downtown address is a legitimate pre-opening hospitality-style project."
bb3d968e-4c1c-4376-aa2d-4d18ec81e055,actionable,"Official approval supports reconstruction of an existing building for restaurant use at an exact address."
bf8659a6-f96b-49b3-8f31-425253a3f468,stale,"Machine result is already stale and does not establish a current vendor-selection window."
ed7ac284-3792-4f31-84c5-51ab10481c72,false_positive,"After-the-fact deck permit is residential; adjacent commercial agenda entries contaminated the extracted description."
0164b1ca-4d9b-4705-aeb4-ee21e364f900,not_actionable,"After-the-fact wetland/access amendment at an existing site is not a new operating-business sales event."
150ba1c7-7f67-481b-853c-4cc6fc78c191,false_positive,"Municipal workforce-housing project is outside the commercial operating-business scope."
cf274645-706d-4e8b-94d6-52f30661fde5,stale,"Historical permit record; machine correctly classified the opportunity as stale."
77b37607-05b4-4ef4-9e0c-4f16b3286600,stale,"Historical permit record; machine correctly classified the opportunity as stale."
05c6bc2e-f407-46b5-ba67-43eb7109d173,stale,"Historical permit record; machine correctly classified the opportunity as stale."
e542ec5b-26de-4863-aa48-ea4238ac59ee,stale,"Historical permit record; machine correctly classified the opportunity as stale."
db79d5d6-1039-41de-9e51-663e18d43543,stale,"Historical permit record; machine correctly classified the opportunity as stale."
3b5dcfe1-b58d-403c-8fcd-ec8480ba221b,stale,"Historical permit record; machine correctly classified the opportunity as stale."
8b1f17a4-be72-488a-b3fb-0dd01af05354,stale,"Historical permit record; machine correctly classified the opportunity as stale."
d10a1d13-a8a0-45c8-bd12-ed6c1322cf40,stale,"Historical permit record; machine correctly classified the opportunity as stale."
d3b61d7e-a919-49ae-8e80-00cdddf5f095,stale,"Historical permit record; machine correctly classified the opportunity as stale."
58c0f2b1-0f88-48f1-a031-f4fb6d8d0419,stale,"Historical permit record; machine correctly classified the opportunity as stale."
17b33e76-c163-43cb-bd01-feb97a2c8aaf,stale,"Historical permit record; machine correctly classified the opportunity as stale."
f929cb0e-a80f-42bc-a88f-4c1ec2fc8ac0,stale,"Historical permit record; machine correctly classified the opportunity as stale."
9a954f44-a33f-4b3c-856a-a0b14686f1f1,stale,"Historical permit record; machine correctly classified the opportunity as stale."
e033a0ee-0f42-408c-8396-7ada2b588a6a,stale,"Historical permit record; machine correctly classified the opportunity as stale."
bc8f2525-5a9f-4edc-8094-8173f634a992,stale,"Historical permit record; machine correctly classified the opportunity as stale."
04497448-0c33-4d6f-8ebc-be8b644ccff4,stale,"Historical permit record; machine correctly classified the opportunity as stale."
77644044-44be-4b9a-a4e5-d023b2b7354d,stale,"Historical permit record; machine correctly classified the opportunity as stale."
4c97c5af-b02b-441e-8d97-3450c82ad1f2,stale,"Historical permit record; machine correctly classified the opportunity as stale."
9ec64dce-95bc-4acc-b018-dcb417c0f51e,stale,"Historical permit record; machine correctly classified the opportunity as stale."
ed4273f3-4813-48c2-a7e8-4a52d228137d,stale,"Historical permit record; machine correctly classified the opportunity as stale."
b6e63d52-6e7a-405f-a775-87c0d88f30eb,stale,"Historical permit record; machine correctly classified the opportunity as stale."
f1321504-1c77-42a8-a12f-27f4d11b0764,stale,"Historical permit record; machine correctly classified the opportunity as stale."
044ac23b-2eb6-4378-a47e-33cd5f8ed06e,stale,"Historical permit record; machine correctly classified the opportunity as stale."
463fc6b2-8b8d-4fb2-bd93-8aa781d89c7c,stale,"Historical permit record; machine correctly classified the opportunity as stale."
f44bbc43-8f11-4c03-9f15-f4a064adf916,stale,"Historical permit record; machine correctly classified the opportunity as stale."
c4ea4224-ba7e-46ee-911c-f1387b17d195,stale,"Historical permit record; machine correctly classified the opportunity as stale."
08d37621-3fa9-4374-b068-a35ec1d6ec4f,stale,"Historical permit record; machine correctly classified the opportunity as stale."
06872ed4-3f14-4f8b-a586-57f4d6367072,stale,"Historical permit record; machine correctly classified the opportunity as stale."
b3be6f75-96d9-4465-86b7-5bc16224f70f,stale,"Historical permit record; machine correctly classified the opportunity as stale."
6a9baccc-f014-44fa-9268-6fdc99141fb2,stale,"Historical permit record; machine correctly classified the opportunity as stale."
8b86ca35-7851-4200-a09e-14a3b359d3e7,false_positive,"Historical restaurant buildout was superseded by a current residential-conversion signal; BUILDOUT classification is not current."
8745a846-06f8-49f7-844c-c2b1de09b9d4,stale,"Historical permit record; machine correctly classified the opportunity as stale."
d5af07b4-85f4-4149-b2e3-c97147203ccc,stale,"Historical permit record; machine correctly classified the opportunity as stale."
