opportunity_id,verdict,note
4aaca58d-c799-4ad7-82e6-00d47a6f0aea,false_positive,"The project converts commercial/restaurant area to a residential apartment and reduces the commercial use."
1edf217b-f8c3-4b48-8a80-54b13bcef6b5,stale,"Old EV-charging work at an existing shopping center; machine already marked the record stale."
24eed4df-38f9-4247-a168-fd5deac70e4b,false_positive,"The project demolishes a mixed-use building for an eight-unit residential building."
e92d3eb9-4674-46f7-b358-0a0b9d9e2129,not_actionable,"Culvert replacement at an existing facility is not a new operating-business or cleaning-sales event."
539f23c6-75c4-476a-915b-e35e55a21abe,stale,"Previously approved mixed-use project remains in an old approval/extension cycle without current buildout evidence."
5cd893a5-8502-4ca5-b238-11fe0237a3fd,stale,"Originally approved in 2022 and repeatedly extended; no current building-permit or operator evidence."
3c3a00a0-1afc-4714-a5af-b58c08aba73e,not_actionable,"EPA-mandated PCB and wetland remediation is real work but not a new operating-business lead."
33386b4f-1dbc-4c4a-b70e-4bb3d29f0c00,stale,"Generic existing-space renovation from a 2024 approval lacks current timing or operator detail."
76f355fb-6f95-4252-b53a-2fdbec6ba6e6,not_actionable,"Drainage and stormwater improvements at an existing museum are not a new business lead."
259d2346-0c14-4eb7-8161-cf5b7fa4f104,false_positive,"Agenda boundary contamination produced an invalid organization and address from adjacent applications."
a206cc70-b16d-46b4-9f51-a69367ace178,false_positive,"Action-sheet boundary contamination produced an invalid organization and address from adjacent applications."
e6043adb-476c-4be9-90d9-b0429073babe,actionable,"Current change-of-use application supports several commercial uses at an exact address; individual tenants remain unresolved."
6f4a11d0-5f05-4315-899b-df1fa8e522cc,actionable,"Restaurant and entertainment change of use at an exact address is a legitimate location-confirmed commercial event."
7873652e-2587-4d77-8d9b-7148136be981,actionable,"Current phased office, vehicle-service, manufacturing, and warehouse development at an exact address."
816390bc-a2be-4d55-b350-524cbd141605,actionable,"Current retail and restaurant buildings within Tuscan Village are legitimate commercial development."
8ae5ddce-722f-425d-af5d-ece91e09d187,actionable,"Named daycare operator and exact address support a strong current commercial project."
7012e469-f170-49b8-87e1-b8c9905c3b35,actionable,"Current warehouse and office development at an exact address is legitimate, with operator still unresolved."
